wso2sp-editor | [2021-06-18 14:03:48,468]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024994937, data=[303, 331, 1.926187214611872], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965800, data=[325, 300, 7.3689285714285715], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965793, data=[324, 326, 2.5], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024949472, data=[335, 316, 5.0625], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024963136, data=[317, 353, 11.0], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965821, data=[309, 358, 41.5], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,469]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964712, data=[309, 353, 4.876888888888889], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,470]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024972049, data=[334, 320, 2.256666666666667], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,470]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964676, data=[323, 290, 4.2444999999999995], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,470]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024996015, data=[301, 341, 2.2155016629711755], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,470]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024995936, data=[303, 335, 3.341830508474576], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,470]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024996022, data=[317, 350, 5.526315789473684], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,471]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965827, data=[320, 303, 12.633333333333333], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,471]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964703, data=[327, 352, 6.0], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,472]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024995970, data=[245, 351, 12.8], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,472]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024982129, data=[306, 342, 2.812275641025641], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,472]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964717, data=[328, 302, 13.409473684210527], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,472]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024995933, data=[305, 338, 0.8226933765632237], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,473]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965406, data=[342, 326, 11.5], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,473]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024993467, data=[326, 324, 7.7925], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,474]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024995967, data=[310, 347, 4.166666666666667], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,474]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964475, data=[314, 331, 2.6505405405405407], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,475]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964714, data=[323, 352, 22.0], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,475]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024995957, data=[309, 347, 2.451731601731602], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,476]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024988582, data=[317, 351, 4.493333333333333], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,477]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024991579, data=[332, 326, 5.18367816091954], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,477]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024994529, data=[312, 354, 0.8333333333333334], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,477]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024960727, data=[322, 332, 7.75], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,477]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964322, data=[319, 363, 35.75], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,477]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964498, data=[306, 356, 5.59430303030303], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,478]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964737, data=[326, 342, 8.86], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,478]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024965794, data=[312, 361, 14.313333333333333], isExpired=false}
wso2sp-editor | [2021-06-18 14:03:48,479]  INFO {org.wso2.siddhi.core.stream.output.sink.LogSink} - Q2 : MostProfitableAreas : Event{timestamp=1624024964639, data=[308, 362, 10.333333333333334], isExpired=false}
